Year,Month,Day,Hour,Minute,GHI,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,10,13,0,577,2.1,29.54,23.6,1015
2019,1,10,13,30,531,2,29.9,23.4,1015
2019,1,10,14,0,472,1.9,30.01,23.2,1015
2019,1,10,14,30,400,1.6,31.49,22.4,1015
2019,1,10,15,0,317,1.2,37.43,21.7,1015
2019,1,10,15,30,226,1.2,37.43,21.7,1015
2019,1,10,16,0,133,0.9,45.3,18.2,1016
2019,1,10,16,30,49,0.8,46.74,17.7,1016
2019,1,10,17,0,2,0.6,45.33,17.2,1016
2019,1,10,17,30,0,0.6,46.49,16.8,1016
2019,1,10,18,0,0,0.5,46.97,16.5,1017
2019,1,10,18,30,0,0.8,49.73,15.6,1017
2019,1,10,19,0,0,1.1,53.36,14.7,1017
2019,1,10,19,30,0,1.2,56.55,13.8,1017
2019,1,10,20,0,0,1.3,60.51,13,1017
2019,1,10,20,30,0,1.4,61.7,12.7,1017
2019,1,10,21,0,0,1.4,64.01,12.4,1017
2019,1,10,21,30,0,1.4,64.44,12.3,1017
2019,1,10,22,0,0,1.5,66.31,12.2,1017
2019,1,10,22,30,0,1.5,66.75,12.1,1017
2019,1,10,23,0,0,1.5,68.96,12,1017
2019,1,10,23,30,0,1.4,69.87,11.8,1017
2019,1,11,0,0,0,1.4,71.93,11.6,1017
2019,1,11,0,30,0,1.4,72.89,11.4,1017
2019,1,11,1,0,0,1.4,73.48,11.2,1017
2019,1,11,1,30,0,1.4,74.95,10.9,1017
2019,1,11,2,0,0,1.4,74.39,10.7,1017
2019,1,11,2,30,0,1.4,75.39,10.5,1017
2019,1,11,3,0,0,1.4,73.48,10.4,1017
2019,1,11,3,30,0,1.4,72.51,10.6,1017
2019,1,11,4,0,0,1.3,68.7,10.8,1017
2019,1,11,4,30,0,1.3,67.35,11.1,1017
2019,1,11,5,0,0,1.2,63.6,11.4,1017
2019,1,11,5,30,0,1.2,64.94,11.1,1018
2019,1,11,6,0,0,1.3,62.98,10.9,1018
2019,1,11,6,30,0,1.1,60.53,11.5,1018
2019,1,11,7,0,23,1,57.59,12.2,1018
